2025-0428 04:41:49 DEBUG    Starting new HTTPS connection (1): hf-mirror.com:443
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.1.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.2.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.3.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.4.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.5.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.6.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.7.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.8.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.9.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.10.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.11.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.pooler.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.pooler.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    lstm.weight_ih_l0: torch.Size([400, 768]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.weight_hh_l0: torch.Size([400, 100]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_ih_l0: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_hh_l0: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.weight_ih_l0_reverse: torch.Size([400, 768]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.weight_hh_l0_reverse: torch.Size([400, 100]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_ih_l0_reverse: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_hh_l0_reverse: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.weight_ih_l1: torch.Size([400, 200]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.weight_hh_l1: torch.Size([400, 100]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_ih_l1: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_hh_l1: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.weight_ih_l1_reverse: torch.Size([400, 200]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.weight_hh_l1_reverse: torch.Size([400, 100]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_ih_l1_reverse: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    lstm.bias_hh_l1_reverse: torch.Size([400]), require_grad=True
2025-0428 04:41:51 DEBUG    hidden2tag.weight: torch.Size([4, 200]), require_grad=True
2025-0428 04:41:51 DEBUG    hidden2tag.bias: torch.Size([4]), require_grad=True
2025-0428 04:41:51 DEBUG    crf.start_transitions: torch.Size([4]), require_grad=True
2025-0428 04:41:51 DEBUG    crf.end_transitions: torch.Size([4]), require_grad=True
2025-0428 04:41:51 DEBUG    crf.transitions: torch.Size([4, 4]), require_grad=True
